16.02.2018 00:01:41:241 || Form1.Create Start
16.02.2018 00:05:17:217 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:05:17:217 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:05:17:217 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:05:17:217 || UInitForms.InputInSystem
16.02.2018 00:05:17:217 || UInitForms.InitMyStartWindow
16.02.2018 00:05:17:217 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:05:17:217 || UInitForms.InitMainForm
16.02.2018 00:05:17:217 || UInitForms.InitPanelControl
16.02.2018 00:05:17:217 || UCommon.SetMainGridPanel Start
16.02.2018 00:05:17:217 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:05:17:217 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:05:17:217 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:05:17:217 || UCommon.SetMainGridPanel Finish
16.02.2018 00:05:17:217 || UInitForms.InitPanelClips
16.02.2018 00:05:17:217 || UGrid.initgrid Grid=GridClips Width=1560
16.02.2018 00:05:17:217 || UInitForms.InitPanelPlayList
16.02.2018 00:05:17:217 || UGrid.initgrid Grid=GridActPlayList Width=1560
16.02.2018 00:05:17:217 || UInitForms.InitPanelProject
16.02.2018 00:05:17:217 || UGrid.initgrid Grid=GridLists Width=1560
16.02.2018 00:05:17:217 || UInitForms.InitPanelPrepare
16.02.2018 00:05:17:217 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
16.02.2018 00:05:17:217 || UGrid.initgrid Grid=GridGRTemplate Width=349
16.02.2018 00:05:17:217 || UDrawTimelines.TTLNames.SetDefaultFonts;
16.02.2018 00:05:17:217 || UDrawTimelines.TTLNames.Draw Start
16.02.2018 00:05:17:217 || UDrawTimelines.TZoneScaler.Draw Height=25
16.02.2018 00:05:17:217 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
16.02.2018 00:05:17:217 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
16.02.2018 00:05:17:217 || UDrawTimelines.TNamesTL.Init Result=152
16.02.2018 00:05:17:217 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
16.02.2018 00:05:17:217 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
16.02.2018 00:05:17:217 || UDrawTimelines.TTLNames.Draw Finish
16.02.2018 00:05:17:217 || UInitForms.InitPanelAir
16.02.2018 00:05:17:217 || UInitForms.MyStartWindow - Вход в систему выполнен
16.02.2018 00:05:17:217 || UCommon.loadoldproject Start
16.02.2018 00:05:17:217 || UCommon.initnewproject Start
16.02.2018 00:10:23:223 || Form1.Create Start
16.02.2018 00:10:23:223 || 
16.02.2018 00:10:23:223 || *****************************************************************************************
16.02.2018 00:10:23:223 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:10:23:223 || *************************            Время старта: 00:10:23:13             *************************
16.02.2018 00:10:23:223 || *****************************************************************************************
16.02.2018 00:10:23:223 || UCommon.CreateDirectories
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:10:23:223 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:10:23:223 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:10:23:223 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:10:23:223 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:10:23:223 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:10:23:223 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:10:23:223 || UInitForms.InputInSystem
16.02.2018 00:10:23:223 || UInitForms.InitMyStartWindow
16.02.2018 00:10:23:223 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:10:23:223 || UInitForms.InitMainForm
16.02.2018 00:10:23:223 || UInitForms.InitPanelControl
16.02.2018 00:10:23:223 || UCommon.SetMainGridPanel Start
16.02.2018 00:10:23:223 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:10:23:223 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:10:23:223 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:10:23:223 || UCommon.SetMainGridPanel Finish
16.02.2018 00:10:23:223 || UInitForms.InitPanelClips
16.02.2018 00:10:23:223 || UGrid.initgrid Grid=GridClips Width=1560
16.02.2018 00:10:23:223 || UInitForms.InitPanelPlayList
16.02.2018 00:10:23:223 || UGrid.initgrid Grid=GridActPlayList Width=1560
16.02.2018 00:10:23:223 || UInitForms.InitPanelProject
16.02.2018 00:10:23:223 || UGrid.initgrid Grid=GridLists Width=1560
16.02.2018 00:10:23:223 || UInitForms.InitPanelPrepare
16.02.2018 00:10:23:223 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
16.02.2018 00:10:23:223 || UGrid.initgrid Grid=GridGRTemplate Width=349
16.02.2018 00:10:23:223 || UDrawTimelines.TTLNames.SetDefaultFonts;
16.02.2018 00:10:23:223 || UDrawTimelines.TTLNames.Draw Start
16.02.2018 00:10:23:223 || UDrawTimelines.TZoneScaler.Draw Height=25
16.02.2018 00:10:23:223 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
16.02.2018 00:10:23:223 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
16.02.2018 00:10:23:223 || UDrawTimelines.TNamesTL.Init Result=152
16.02.2018 00:10:23:223 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
16.02.2018 00:10:23:223 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
16.02.2018 00:10:23:223 || UDrawTimelines.TTLNames.Draw Finish
16.02.2018 00:10:23:223 || UInitForms.InitPanelAir
16.02.2018 00:10:23:223 || UInitForms.MyStartWindow - Вход в систему выполнен
16.02.2018 00:10:23:223 || UCommon.loadoldproject Start
16.02.2018 00:10:23:223 || UCommon.initnewproject Start
16.02.2018 00:17:23:223 || Form1.Create Start
16.02.2018 00:17:23:223 || 
16.02.2018 00:17:23:223 || *****************************************************************************************
16.02.2018 00:17:23:223 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
16.02.2018 00:17:23:223 || *************************            Время старта: 00:17:23:24             *************************
16.02.2018 00:17:23:223 || *****************************************************************************************
16.02.2018 00:17:23:223 || UCommon.CreateDirectories
16.02.2018 00:17:23:223 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
16.02.2018 00:17:24:224 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
16.02.2018 00:17:24:224 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
16.02.2018 00:17:24:224 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || UGrid.TGridRows.SetDefaultFonts
16.02.2018 00:17:24:224 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
16.02.2018 00:17:24:224 || UMyFiles.ExecTaskOnDelete
16.02.2018 00:17:24:224 || UInitForms.InputInSystem - Вход в систему выполнен
16.02.2018 00:17:24:224 || UInitForms.InputInSystem
16.02.2018 00:17:24:224 || UInitForms.InitMyStartWindow
16.02.2018 00:17:24:224 || UInitForms.InitMyStartWindow - Вход в систему выполнен
16.02.2018 00:17:24:224 || UInitForms.InitMainForm
16.02.2018 00:17:24:224 || UInitForms.InitPanelControl
16.02.2018 00:17:24:224 || UCommon.SetMainGridPanel Start
16.02.2018 00:17:24:224 || UCommon.SetMainGridPanel MainGrid=projects
16.02.2018 00:17:24:224 || UCommon.CheckedClipsInList Start GridClips
16.02.2018 00:17:24:224 || UCommon.CheckedClipsInList Finish GridClips
16.02.2018 00:17:24:224 || UCommon.SetMainGridPanel Finish
